Timestamp,What is your age?,What is your gender?,Highest Level of Education Completed,Employment Type,How many hours do you work in an average week?,Number of years in current industry,"What is your expected personal income (pre-tax, in USD) this year?",Marital Status,Family Status
8/25/2009 7:16:33,31,Male,Masters/MBA,Small Business,40,9,100000,Married/Partner,1
8/25/2009 7:16:34,24,Male,Some College,Small Business,50,2,42000,Married/Partner,0
8/25/2009 7:16:57,30,Male,Some College,Small Business,40,11,60000,Married/Partner,0
8/25/2009 7:17:15,30,Male,Ph.D/DDS/MD,Student,50,2,27 429.12,Single,0
8/25/2009 7:17:20,37,Male,Bachelors,Self Employed,50,14,0,Divorced/Seperated,0
8/25/2009 7:17:23,31,Male,Some College,Self Employed,60,6,80000,Married/Partner,0
8/25/2009 7:17:23,49,Male,Some College,Corporation,50,29,0,Married/Partner,1
8/25/2009 7:17:27,25,Male,Some College,Student,40,3,15000,Single,0
8/25/2009 7:17:36,29,Male,Associates,Small Business,40,10,125000,Married/Partner,0
8/25/2009 7:17:39,31,Male,High School,Large Business,42,10,34800,Single,0
8/25/2009 7:17:49,43,Male,Some College,Small Business,45,19,60000,Divorced/Seperated,2
8/25/2009 7:17:57,24,Male,Some College,Student,50,6,15000,Married/Partner,0
8/25/2009 7:18:05,55,Male,Some College,Unemployed,0,33,9782,Single,0
8/25/2009 7:18:17,42,Male,Bachelors,Corporation,45,18,250000,Married/Partner,1
8/25/2009 7:18:40,27,Male,Bachelors,Corporation,20,5,50000,Single,0
8/25/2009 7:18:58,29,Male,Bachelors,Small Business,40,8,160000,Single,0
8/25/2009 7:19:05,25,Male,Pre-High School,Small Business,38,8,46000,Single,0
8/25/2009 7:19:06,23,Male,Bachelors,Small Business,40,3,45000,Married/Partner,0
8/25/2009 7:19:07,41,Male,Ph.D/DDS/MD,Self Employed,80,25,200000,Married/Partner,1
8/25/2009 7:19:09,25,Male,Masters/MBA,Self Employed,45,4,5000,Single,0
8/25/2009 7:19:14,26,Male,High School,Large Business,60,5,150000,Married/Partner,0
8/25/2009 7:19:15,21,Male,Some College,Small Business,35,2,26000,Married/Partner,0
8/25/2009 7:19:16,27,Male,Masters/MBA,Government,40,4,45000,Married/Partner,0
8/25/2009 7:19:19,21,Male,Some College,Small Business,42,2,20000,Single,0
8/25/2009 7:19:22,17,Male,High School,Student,65,0,0,Single,0
8/25/2009 7:19:35,34,Male,Bachelors,Self Employed,60,9,40000,Single,0
8/25/2009 7:20:04,29,Male,Bachelors,Large Business,38,7,62000,Married/Partner,0
8/25/2009 7:20:13,26,Male,Bachelors,Small Business,45,3,96000,Single,0
8/25/2009 7:20:17,28,Male,Masters/MBA,Large Business,41,8,57000,Married/Partner,0
8/25/2009 7:20:19,58,Male,Masters/MBA,Self Employed,20,5,65000,Married/Partner,2
8/25/2009 7:20:22,17,Male,High School,Small Business,8,2,28000,Single,0
8/25/2009 7:20:29,25,Male,Bachelors,Small Business,60,10,75000,Single,0
8/25/2009 7:20:35,27,Male,Masters/MBA,Small Business,42,5,50000,Married/Partner,0
8/25/2009 7:20:41,27,Male,Bachelors,Corporation,45,5,58500,Married/Partner,0
8/25/2009 7:20:49,32,Male,Bachelors,Small Business,40,10,125000,Married/Partner,0
8/25/2009 7:21:22,26,Male,Bachelors,Small Business,55,4,95000,Single,0
8/25/2009 7:21:46,25,Male,Masters/MBA,Small Business,46,3,72000,Single,0
8/25/2009 7:21:49,29,Male,Masters/MBA,Small Business,40,5,80000,Married/Partner,0
8/25/2009 7:22:03,24,Male,Bachelors,Small Business,60,7,40000,Single,0
8/25/2009 7:22:08,23,Male,Bachelors,Student,20,4,0,Single,0
8/25/2009 7:22:23,36,Male,High School,Self Employed,35,15,72000,Married/Partner,2
8/25/2009 7:22:34,26,Male,Bachelors,Self Employed,55,2,25000,Single,0
8/25/2009 7:22:34,59,Male,Bachelors,Small Business,50,15,39000,Married/Partner,0
8/25/2009 7:22:41,25,Male,Some College,Small Business,40,2,37000,Married/Partner,0
8/25/2009 7:22:54,25,Male,Masters/MBA,Corporation,40,2,67000,Married/Partner,0
8/25/2009 7:23:06,21,Male,Masters/MBA,Small Business,50,1,60000,Single,0
8/25/2009 7:23:10,24,Male,Some College,Self Employed,80,10,5000,Single,0
8/25/2009 7:23:12,30,Male,Bachelors,Self Employed,20,6,60000,Married/Partner,0
8/25/2009 7:23:32,29,Male,Bachelors,Large Business,75,6,59000,Single,0
8/25/2009 7:23:34,37,Male,Bachelors,Corporation,40,15,80000,Married/Partner,0
8/25/2009 7:23:37,25,Male,Bachelors,Unemployed,50,10,4000,Single,0
8/25/2009 7:23:38,23,Male,Bachelors,Small Business,40,1,48000,Single,0
8/25/2009 7:23:44,24,Male,Bachelors,Large Business,35,1,95000,Single,0
8/25/2009 7:23:47,24,Male,Bachelors,Corporation,40,3,50000,Single,0
8/25/2009 7:23:54,21,Male,Bachelors,Small Business,50,2,64000,Single,0
8/25/2009 7:24:07,22,Male,Some College,Student,30,5,0,Married/Partner,0
8/25/2009 7:24:09,22,Male,Associates,Small Business,50,5,29000,Single,0
8/25/2009 7:24:10,24,Male,Bachelors,Small Business,40,2,45000,Single,0
8/25/2009 7:24:14,24,Male,Bachelors,Large Business,40,2,44000,Married/Partner,0
8/25/2009 7:24:19,19,Male,Associates,Student,40,6,40000,Single,0
8/25/2009 7:24:19,21,Male,Associates,Self Employed,15,2,24000,Single,0
8/25/2009 7:24:29,30,Male,Masters/MBA,Large Business,50,10,130000,Single,0
8/25/2009 7:24:39,31,Male,Bachelors,Small Business,60,9,101000,Married/Partner,1
8/25/2009 7:24:40,27,Male,Bachelors,Small Business,50,5,82000,Married/Partner,0
8/25/2009 7:24:42,31,Male,Masters/MBA,Large Business,45,5,120000,Married/Partner,0
8/25/2009 7:24:43,29,Male,Bachelors,Large Business,40,10,80000,Single,0
8/25/2009 7:24:46,23,Male,Bachelors,Corporation,45,1,85000,Single,0
8/25/2009 7:24:52,24,Male,Some College,Corporation,45,8,92000,Single,0
8/25/2009 7:24:54,24,Male,Bachelors,Self Employed,25,8,22857,Single,0
8/25/2009 7:24:55,43,Male,Bachelors,Small Business,50,20,150000,Married/Partner,1
8/25/2009 7:25:15,36,Male,Masters/MBA,Self Employed,40,12,150000,Married/Partner,2
8/25/2009 7:25:32,30,Male,Some College,Small Business,40,11,42736,Married/Partner,0
8/25/2009 7:25:46,21,Male,Some College,Student,30,3,2000,Single,0
8/25/2009 7:25:47,30,Male,Masters/MBA,Student,50,3,60000,Single,0
8/25/2009 7:25:52,27,Male,Bachelors,Self Employed,50,5,200000,Single,0
8/25/2009 7:25:56,28,Male,Bachelors,Small Business,40,7,78000,Married/Partner,1
8/25/2009 7:26:02,22,Male,Some College,Small Business,45,2,60000,Single,0
8/25/2009 7:26:03,32,Male,Bachelors,Self Employed,30,12,"150,00",Single,0
8/25/2009 7:26:05,25,Male,Bachelors,Large Business,42,3,57000,Single,0
8/25/2009 7:26:17,31,Male,Some College,Small Business,42,12,50000,Married/Partner,0
8/25/2009 7:26:18,27,Male,Bachelors,Small Business,60,5,44600,Married/Partner,0
8/25/2009 7:26:32,35,Male,Some College,Small Business,60,16,150000,Married/Partner,2
8/25/2009 7:26:34,26,Male,Masters/MBA,Small Business,60,4,68000,Single,0
8/25/2009 7:26:38,26,Male,Bachelors,Large Business,40,4,60000,Married/Partner,0
8/25/2009 7:26:45,31,Male,Bachelors,Government,40,10,45000,Single,0
8/25/2009 7:26:55,25,Female,Masters/MBA,Government,42,2,50000,Single,0
8/25/2009 7:27:10,23,Male,Masters/MBA,Student,40,0,25000,Single,0
8/25/2009 7:27:43,44,Male,Bachelors,Large Business,40,22,86000,Married/Partner,2
8/25/2009 7:27:46,29,Female,Masters/MBA,Self Employed,55,6,11000,Single,0
8/25/2009 7:28:01,27,Male,Bachelors,Small Business,70,10,60000,Married/Partner,0
8/25/2009 7:28:02,24,Male,Some College,Corporation,40,2,26000,Single,0
8/25/2009 7:28:17,24,Male,Some College,Corporation,90,10,340000,Single,0
8/25/2009 7:28:26,32,Male,Bachelors,Self Employed,40,12,100000,Married/Partner,1
8/25/2009 7:28:44,31,Male,Some College,Small Business,50,14,125000,Married/Partner,0
8/25/2009 7:28:46,28,Male,Some College,Small Business,60,5,80000,Married/Partner,0
8/25/2009 7:29:04,26,Male,Some College,Large Business,40,1,60000,Single,0
8/25/2009 7:29:09,35,Male,Bachelors,Self Employed,45,12,200000,Married/Partner,2
8/25/2009 7:29:16,22,Male,Some College,Student,0,0,0,Single,0
8/25/2009 7:29:30,27,Male,Bachelors,Corporation,40,5,80000,Married/Partner,0
8/25/2009 7:29:40,21,Male,Masters/MBA,Government,42,4,41000,Single,0
8/25/2009 7:29:46,24,Male,Some College,Corporation,40,2,110000,Single,0
8/25/2009 7:30:13,35,Male,Some College,Self Employed,60,18,120000,Married/Partner,1
8/25/2009 7:30:13,23,Male,Bachelors,Government,40,4,40000,Single,0
8/25/2009 7:30:19,34,Male,Bachelors,Corporation,40,10,60000,Married/Partner,3
8/25/2009 7:30:30,30,Male,Ph.D/DDS/MD,Student,40,8,25000,Single,0
8/25/2009 7:30:31,38,Male,Bachelors,Self Employed,60,17,150000,Single,0
8/25/2009 7:30:48,23,Male,Bachelors,Self Employed,60,5,40000,Single,0
8/25/2009 7:30:52,35,Male,Bachelors,Corporation,40,5,80000,Married/Partner,2
8/25/2009 7:31:10,21,Male,Some College,Student,20,7,8000,Single,0
8/25/2009 7:31:18,22,Male,Some College,Large Business,40,1,30000,Single,0
8/25/2009 7:31:27,26,Male,Bachelors,Government,37.5,0,40000,Single,0
8/25/2009 7:31:39,30,Male,Masters/MBA,Large Business,50,3,90000,Single,0
8/25/2009 7:31:40,24,Male,Bachelors,Small Business,60,3,12000,Single,0
8/25/2009 7:32:23,35,Male,Bachelors,Student,0,5,0,Married/Partner,2
8/25/2009 7:32:46,21,Male,Some College,Small Business,40,3,50000,Married/Partner,0
8/25/2009 7:32:59,25,Male,Bachelors,Large Business,50,4,65000,Single,0
8/25/2009 7:33:09,29,Male,Masters/MBA,Small Business,40,5,80000,Single,0
8/25/2009 7:33:10,21,Male,Some College,Student,40,4,40000,Single,0
8/25/2009 7:33:24,48,Male,Ph.D/DDS/MD,Corporation,55,18,105000,Married/Partner,2
8/25/2009 7:33:28,27,Male,Bachelors,Large Business,40,9,140000,Single,0
8/25/2009 7:33:37,35,Male,Some College,Self Employed,40,12,34000,Married/Partner,0
8/25/2009 7:33:38,29,Male,Bachelors,Government,50,1,50000,Single,0
8/25/2009 7:33:40,26,Male,Bachelors,Corporation,45,4,88000,Married/Partner,0
8/25/2009 7:33:53,36,Male,Some College,Self Employed,45,13,160000,Single,1
8/25/2009 7:33:59,21,Male,High School,Student,36,1,4500,Single,0
8/25/2009 7:34:31,32,Male,Bachelors,Self Employed,60,11,140000,Married/Partner,0
8/25/2009 7:34:43,22,Female,Some College,Student,12,3,20000,Married/Partner,0
8/25/2009 7:35:29,20,Male,Some College,Small Business,42,3,55600,Single,0
8/25/2009 7:35:40,22,Male,Some College,Government,3,1,25000,Single,0
8/25/2009 7:35:44,20,Male,Some College,Small Business,40,2,20000,Single,0
8/25/2009 7:35:44,26,Male,Bachelors,Small Business,50,5,90000,Married/Partner,0
8/25/2009 7:35:45,30,Male,Ph.D/DDS/MD,Large Business,40,8,70000,Married/Partner,0
8/25/2009 7:35:54,25,Male,Masters/MBA,Corporation,40,3,44000,Single,0
8/25/2009 7:36:08,17,Male,High School,Self Employed,30,3,30000,Single,0
8/25/2009 7:36:11,33,Male,Masters/MBA,Small Business,65,3,85000,Married/Partner,1
8/25/2009 7:36:32,26,Male,Masters/MBA,Small Business,37,6,73674,Married/Partner,0
8/25/2009 7:36:37,28,Male,Masters/MBA,Small Business,60,2,48000,Married/Partner,0
8/25/2009 7:36:44,24,Male,Bachelors,Large Business,40,3,35000,Married/Partner,0
8/25/2009 7:36:48,27,Male,Some College,Self Employed,50,8,120000,Single,0
8/25/2009 7:37:10,33,Male,Bachelors,Corporation,43,10,90800,Married/Partner,0
8/25/2009 7:37:22,52,Female,Bachelors,Self Employed,12,30,12000,Single,2
8/25/2009 7:37:40,39,Male,Masters/MBA,Small Business,50,12,70000,Divorced/Seperated,0
8/25/2009 7:37:43,39,Male,Masters/MBA,Corporation,40,16,150000,Married/Partner,0
8/25/2009 7:37:56,22,Male,Some College,Small Business,50,4,73000,Single,0
8/25/2009 7:38:09,23,Male,Some College,Self Employed,60,1,20000,Single,0
8/25/2009 7:38:47,32,Male,Bachelors,Corporation,20-80,13,180000,Single,0
8/25/2009 7:38:59,20,Male,Some College,Self Employed,15,2,6000,Single,0
8/25/2009 7:39:05,21,Male,Masters/MBA,Student,25,2,12000,Single,0
8/25/2009 7:39:24,32,Male,Masters/MBA,Large Business,42,10,110000000,Married/Partner,2
8/25/2009 7:39:59,30,Male,Some College,Self Employed,60,10,10000,Single,0
8/25/2009 7:40:02,24,Male,Some College,Small Business,60,8,30000,Single,0
8/25/2009 7:40:17,25,Male,Bachelors,Government,40,4,50000,Single,0
8/25/2009 7:40:56,45,Male,Masters/MBA,Small Business,40,19,99999,Married/Partner,2
8/25/2009 7:40:57,30,Male,Some College,Small Business,36,10,70000,Single,0
8/25/2009 7:41:09,24,Male,Bachelors,Small Business,40,2,40000,Single,0
8/25/2009 7:41:13,48,Male,Bachelors,Corporation,40,26,144000,Married/Partner,2
8/25/2009 7:41:43,24,Male,Bachelors,Small Business,60,2,60000,Single,0
8/25/2009 7:41:44,30,Male,Bachelors,Large Business,40,8,60000,Married/Partner,0
8/25/2009 7:42:00,26,Male,Bachelors,Corporation,40,6,84000,Single,0
8/25/2009 7:42:11,34,Male,Associates,Self Employed,50,12,35000,Single,0
8/25/2009 7:42:23,26,Male,Masters/MBA,Large Business,50,3,100000,Single,0
8/25/2009 7:42:26,26,Male,Bachelors,Small Business,50,10,62000,Married/Partner,0
8/25/2009 7:42:50,34,Male,Masters/MBA,Government,50,12,84000,Married/Partner,0
8/25/2009 7:43:16,27,Male,Bachelors,Large Business,45,4,120000,Married/Partner,0
8/25/2009 7:43:21,31,Male,Associates,Small Business,50,12,55000,Married/Partner,2
8/25/2009 7:43:41,28,Male,Bachelors,Small Business,40,5,90000,Single,0
8/25/2009 7:43:42,38,Male,Some College,Self Employed,65,12,150000,Married/Partner,2
8/25/2009 7:44:17,24,Male,Bachelors,Government,35,1,36000,Single,0
8/25/2009 7:44:20,21,Male,Some College,Student,50,0,400,Single,0
8/25/2009 7:44:24,26,Male,Bachelors,Large Business,40,4,70000,Single,0
8/25/2009 7:44:26,31,Male,Masters/MBA,Corporation,40,5,86000,Single,0
8/25/2009 7:44:28,20,Male,Some College,Student,35,2,16000,Single,0
8/25/2009 7:44:33,24,Male,High School,Large Business,38,5,68000,Single,0
8/25/2009 7:44:44,20,Male,Some College,Student,60,3,20000,Single,0
8/25/2009 7:44:49,52,Male,Masters/MBA,Large Business,37,18,47000,Single,0
8/25/2009 7:44:51,27,Male,Bachelors,Corporation,40,2,55000,Single,0
8/25/2009 7:45:00,29,Male,Masters/MBA,Small Business,40,3,57000,Single,0
8/25/2009 7:45:03,25,Male,Some College,Small Business,40,6,35000,Single,0
8/25/2009 7:45:11,25,Male,High School,Small Business,80,6,26000,Single,0
8/25/2009 7:45:13,24,Male,Bachelors,Student,50,9,25000,Married/Partner,0
8/25/2009 7:45:14,28,Male,Bachelors,Small Business,40,2,45000,Married/Partner,2
8/25/2009 7:45:14,24,Male,Masters/MBA,Student,50,8,30000,Single,0
8/25/2009 7:45:35,31,Male,Some College,Small Business,40,14,70000,Married/Partner,0
8/25/2009 7:45:44,31,Male,Bachelors,Small Business,40,5,64000,Married/Partner,0
8/25/2009 7:45:49,22,Male,Bachelors,Small Business,35,5,?,Single,0
8/25/2009 7:46:02,23,Male,Associates,Self Employed,25,4,20000,Single,0
8/25/2009 7:46:05,20,Male,High School,Student,2,1,0,Married/Partner,0
8/25/2009 7:46:11,25,Male,Bachelors,Government,50,2,73,Single,0
8/25/2009 7:46:24,30,Male,Bachelors,Small Business,48,12,115000,Married/Partner,1
8/25/2009 7:46:27,21,Male,Some College,Small Business,40,1,10000,Single,0
8/25/2009 7:46:39,27,Male,Masters/MBA,Government,40,10,55000,Single,0
8/25/2009 7:46:45,26,Male,Associates,Large Business,40,5,44000,Single,0
8/25/2009 7:46:55,36,Male,Ph.D/DDS/MD,Self Employed,60,9,100000,Married/Partner,1
8/25/2009 7:46:56,37,Male,Masters/MBA,Small Business,5,25,108,Single,0
8/25/2009 7:47:03,27,Male,Some College,Corporation,50,10,100000,Married/Partner,0
8/25/2009 7:47:11,30,Male,Some College,Corporation,40,10,70000,Married/Partner,2
8/25/2009 7:47:16,25,Male,Some College,Large Business,70,5,65000,Single,0
8/25/2009 7:47:18,24,Male,Bachelors,Small Business,40,2,40000,Single,0
8/25/2009 7:47:18,20,Male,Some College,Corporation,12,2,13000,Single,0
8/25/2009 7:47:23,28,Male,Bachelors,Government,60,7,60000,Single,0
8/25/2009 7:47:33,27,Male,Bachelors,Self Employed,30,6,105000,Married/Partner,0
8/25/2009 7:47:34,24,Male,Bachelors,Student,35,2,25000,Single,0
8/25/2009 7:47:37,36,Male,Bachelors,Small Business,42,12,100000,Married/Partner,1
8/25/2009 7:47:41,28,Male,Bachelors,Small Business,40,11,60000,Single,0
8/25/2009 7:47:42,25,Male,Some College,Small Business,60,9,35000,Single,0
8/25/2009 7:47:54,31,Male,Bachelors,Small Business,40,10,90000,Married/Partner,0
8/25/2009 7:48:01,22,Male,Pre-High School,Self Employed,0,0,800,Married/Partner,1
8/25/2009 7:48:26,28,Male,Bachelors,Self Employed,55,5,80000,Single,0
8/25/2009 7:48:30,32,Male,Bachelors,Self Employed,50,10,60000,Single,0
8/25/2009 7:48:38,32,Male,Masters/MBA,Corporation,45,10,155000,Married/Partner,0
8/25/2009 7:48:45,25,Male,Some College,Small Business,25,5,35000,Single,0
8/25/2009 7:48:47,31,Male,Bachelors,Self Employed,45,12,45000,Married/Partner,1
8/25/2009 7:48:52,23,Male,Bachelors,Small Business,45,1,65000,Married/Partner,0
8/25/2009 7:48:59,22,Male,Some College,Large Business,55,3,95000,Married/Partner,1
8/25/2009 7:49:13,28,Male,Masters/MBA,Student,55,6,45000,Single,0
8/25/2009 7:49:15,47,Male,Some College,Small Business,55,28,200000,Married/Partner,0
8/25/2009 7:49:17,26,Male,Some College,Self Employed,60,5,10000,Single,0
8/25/2009 7:49:23,33,Male,Bachelors,Large Business,50,14,32000,Married/Partner,1
8/25/2009 7:49:37,38,Male,Bachelors,Self Employed,45,17,0,Single,0
8/25/2009 7:49:44,32,Male,Some College,Corporation,60,10,100000,Married/Partner,0
8/25/2009 7:49:46,27,Male,Masters/MBA,Small Business,50,3,75000,Married/Partner,0
8/25/2009 7:49:52,28,Male,Bachelors,Corporation,40,1,80000,Single,0
8/25/2009 7:49:52,25,Male,Bachelors,Small Business,55,11,140000,Single,0
